Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[35 Central Park N Unit 5G](https://www.apartments.com/35-central-park-n-new-york-ny-unit-5g/whexkbk/),929-484-4840,"[35 Central Park N, New York, NY 10026](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/35+Central+Park+N,+New+York,+NY+10026/data=!4m2!4m1!3e2)",,"$2,700",,,No Pets Allowed,,,,,"* Dishwasher
* Stainless Steel Appliances
* Kitchen Facilities",,* Wheelchair Accessible (Rooms),* Hardwood Floors,12 Months,* Laundry Facilities,,* Elevator,,![Living Room - 35 Central Park N](https://images1.apartments.com/i2/cV6s045WGPgE2UBgDuq6OKi-GKrYRwuqyQO3iby4Ci0/111/35-central-park-n-unit-5g-new-york-ny-living-room.jpg) ![Living Room - 35 Central Park N](https://images1.apartments.com/i2/ESULmvBb8KuzJOy-hEl4U9_zKqPa_gu-d8gSohgGops/117/35-central-park-n-unit-5g-new-york-ny-living-room.jpg) ![Kitchen - 35 Central Park N](https://images1.apartments.com/i2/Z5e6rftjVRdrE4jzyNuBcXrDh1xs56zSZiIECNK5SUE/117/35-central-park-n-unit-5g-new-york-ny-kitchen.jpg) ![Kitchen - 35 Central Park N](https://images1.apartments.com/i2/LWiCYt6v2x4GuKx_H2XbCupKZ1kqNmq5ImikZ0z08K8/117/35-central-park-n-unit-5g-new-york-ny-kitchen.jpg) ![Bedroom - 35 Central Park N](https://images1.apartments.com/i2/gmV79s_n-Tr-d4zRmvEdOuiq-1_tYrgmuKPUM1Vt2FE/117/35-central-park-n-unit-5g-new-york-ny-bedroom.jpg) ![Bedroom - 35 Central Park N](https://images1.apartments.com/i2/KlUDPxm8q5YKCp0QSzcFB5CxRR1mPzMGBs9a3xQmuco/117/35-central-park-n-unit-5g-new-york-ny-bedroom.jpg) ![Bedroom - 35 Central Park N](https://images1.apartments.com/i2/DYpt4kVzAgNt8nDv-mAZuiRiW4UQW76HLW-uDZLIil8/117/35-central-park-n-unit-5g-new-york-ny-bedroom.jpg) ![Bedroom - 35 Central Park N](https://images1.apartments.com/i2/ZSpOZ5ySw2m81nmldLl2n4taGJutBs89M5bbEVlPYUc/117/35-central-park-n-unit-5g-new-york-ny-bedroom.jpg) ![Hallway - 35 Central Park N](https://images1.apartments.com/i2/ptKuL0oBlsWQj9Q8tc0qhwiitOJ6xagQJerWlceQsPI/117/35-central-park-n-unit-5g-new-york-ny-hallway.jpg) ![Bathroom - 35 Central Park N](https://images1.apartments.com/i2/nSgqXQSnoTofxjC5bAABzRsRkWziL066ekycRt2OVFs/117/35-central-park-n-unit-5g-new-york-ny-bathroom.jpg) ![Bathroom - 35 Central Park N](https://images1.apartments.com/i2/RJcFdzw-WfEda4X5Qi0F8BOd50U2XFWGtMbcN5PEWp8/117/35-central-park-n-unit-5g-new-york-ny-bathroom.jpg) ![Bathroom - 35 Central Park N](https://images1.apartments.com/i2/fuCnbKmqiEQJz-p2zbHPNUw0cK-uDT2PJfEm3FhuurQ/117/35-central-park-n-unit-5g-new-york-ny-bathroom.jpg) ,
[1305 5th Ave Unit 15B](https://www.apartments.com/1305-5th-ave-new-york-ny-unit-15b/my6r0rl/),929-415-3918,"[1305 5th Ave, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1305+5th+Ave,+New+York,+NY+10029/data=!4m2!4m1!3e2)",,"$3,795",,,Dogs and Cats Allowed,,,Street,,"* Dishwasher
* Stainless Steel Appliances
* Kitchen Facilities",,,* Hardwood Floors,12 Months,* Laundry Facilities,,* Elevator,,![Living Room - 1305 5th Ave](https://images1.apartments.com/i2/ao9SVa26CqBqQK6ys5I9bneq00wVxZqieU7x-9333oI/111/1305-5th-ave-unit-15b-new-york-ny-living-room.jpg) ![Kitchen - 1305 5th Ave](https://images1.apartments.com/i2/26CgWt3KUhzrIfQ7PUnkzagWibe5gNWTmsjoki4jdY8/117/1305-5th-ave-unit-15b-new-york-ny-kitchen.jpg) ![Bedroom - 1305 5th Ave](https://images1.apartments.com/i2/oVCBZjFeg0pitqERCJC71Wm1A1NVE4rc8lntOQs-A2w/117/1305-5th-ave-unit-15b-new-york-ny-bedroom.jpg) ![Bedroom - 1305 5th Ave](https://images1.apartments.com/i2/16fPJ987gCp-CkZ5CWkuhpHs1JATizK5fBzEoEuVqj8/117/1305-5th-ave-unit-15b-new-york-ny-bedroom.jpg) ![Bedroom - 1305 5th Ave](https://images1.apartments.com/i2/KKbaOijvM5V5oyyOC6b53NlH0I_3mJ44sM9crZqsb6s/117/1305-5th-ave-unit-15b-new-york-ny-bedroom.jpg) ![Bathroom - 1305 5th Ave](https://images1.apartments.com/i2/pEUUfFVRg4O9jTtmxfIXcmVAJKiXMxohS5o93M9m1RA/117/1305-5th-ave-unit-15b-new-york-ny-bathroom.jpg) ,
[110 E 84th St Unit 1A](https://www.apartments.com/110-e-84th-st-new-york-ny-unit-1a/8chp3c0/),929-484-4684,"[110 E 84th St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/110+E+84th+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)",,"$2,150",,,,,,,,* Stainless Steel Appliances,,* Tub/Shower,,12 Months,* Laundry Facilities,,* Elevator,,![Primary Photo - 110 E 84th St](https://images1.apartments.com/i2/oWDAev6-NoE5zO9V9jeOBWtDzI2zr4-TPXUwXMm6IWU/111/110-e-84th-st-unit-1a-new-york-ny-primary-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/NLK2dRyM8NEyh4WTBmOtwdAR_lMk5W7nu2bf2X2eJvI/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/ZagLDrpA6t6jd56ww6K68gsrXP9ppgQ-CalCcf74gQY/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/BDMsngDECubLoP79PEA4v6HvGtaplNryb1y7aZJG1DA/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/Y21rm8-xVys857sP2rG31T9jYXbx7gn6wXM0sLunnKE/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/fYPEdluFREIB5g24vYUjts8B-RxBUtPIrcMLsN4LOno/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/TAJTDwzwxTMyZq-xlDpQI9AQTNQw0iS7qI3oQqwuT2w/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/YH3a5KUnCBq_yxjsi1uf8LzZzCCysALC55MZrpD28HA/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/N2hhdXMHiLockgQpWkPBP8vNrAPgmDot7rkG8wM1PVA/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/gAInXnh_ktV536uJP-h3_fnvgvStYAwovGcnZgR2nhY/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/Qvw20lONd70ROzypq8ntX3yWcZEy2Ndi6EGOvAJKL20/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ![Building Photo - 110 E 84th St](https://images1.apartments.com/i2/AR5nuWbR03MGHfw-JWxtgoWku_a-LnBKdzuyqn0Di_Q/117/110-e-84th-st-unit-1a-new-york-ny-building-photo.jpg) ,
[270 Fort Washington Ave Unit 26](https://www.apartments.com/270-fort-washington-ave-new-york-ny-unit-26/k7sh378/),,"[270 Fort Washington Ave, New York, NY 10032](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/270+Fort+Washington+Ave,+New+York,+NY+10032/data=!4m2!4m1!3e2)",,"$2,850",,,Dogs and Cats Allowed,,,,,"* Dishwasher
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave",,,* Crown Molding,12 Months,* Laundry Facilities,,* Elevator,,![bedroom 1 - 270 Fort Washington Ave](https://images1.apartments.com/i2/WSiT4aJOzB57qXK0g63KjvtH77Ab0cSJCtV2oGvkgcY/111/270-fort-washington-ave-unit-26-new-york-ny-bedroom-1.jpg) ![living room - 270 Fort Washington Ave](https://images1.apartments.com/i2/wSlH0o22TkUDlDBS7NxZOy6eYarlxvuFRuPLlNgeLvo/117/270-fort-washington-ave-unit-26-new-york-ny-living-room.jpg) ![kitchen - 270 Fort Washington Ave](https://images1.apartments.com/i2/AewaFCU5tigOA26Z5fuSKkR80XfsHsEe-InM7_-RGnU/117/270-fort-washington-ave-unit-26-new-york-ny-kitchen.jpg) ![kitchen - 270 Fort Washington Ave](https://images1.apartments.com/i2/aVE8GIYUpJ6EhcOh2U10rW98Td-cxYkTCqmcRMgwuhc/117/270-fort-washington-ave-unit-26-new-york-ny-kitchen.jpg) ![bathroom - 270 Fort Washington Ave](https://images1.apartments.com/i2/IH8yxnoEC-grSFoxDdvtaz8FhhBZW0h_bhZgBlZ0XKU/117/270-fort-washington-ave-unit-26-new-york-ny-bathroom.jpg) ![bedroom 2 - 270 Fort Washington Ave](https://images1.apartments.com/i2/SLuosn199Ql8Lgp7QsmXVyds_na5_rhEyqvetjSb5sM/117/270-fort-washington-ave-unit-26-new-york-ny-bedroom-2.jpg) ![bedroom 3 - 270 Fort Washington Ave](https://images1.apartments.com/i2/OpOGhaQAhkmpfXyxfp5c59tgXrPX56OUpqJmkvtyHPw/117/270-fort-washington-ave-unit-26-new-york-ny-bedroom-3.jpg) ,
[164 E 112th St Unit 2C](https://www.apartments.com/164-e-112th-st-new-york-ny-unit-2c/nw9yfwq/),929-357-7895,"[164 E 112th St, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/164+E+112th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)",,"$2,590",,,Cats Allowed,,,,,"* Dishwasher
* Kitchen Facilities",,* Smoke Free,* Hardwood Floors,12 Months,* Laundry Facilities,,,* Gated Entry,![Primary Photo - 164 E 112th St](https://images1.apartments.com/i2/dNPGKIm9AIVrJx87K5IZyydPPiUn3pi9t4KFcIUueME/111/164-e-112th-st-unit-2c-new-york-ny-primary-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/USn56gxrwHzItg7gsdGi6SKYoNI7f6vp8fnLtmnDtos/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/mSWLN9t6acjNmdE5MpTWRAbF2I3YgXx-6ML3Q9_-Ews/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/b5WHG21_lshODliPh4G0eOW57J2a5tLVTN2TZitGLyg/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/Nhsm_tlHNetGr30cSrtLsjVUoW8tOg02EcJTxX7eHqU/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/JQDAYVJ_2E0edDlA_T5bbdxtIl1rCZJHAVgThx3j5EU/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/Up_-6zih786Hjy40Cmy6-gsJjpTsE33kvsdPOkcCAdg/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/zN8hre3POV9lLFbzxQt522QtLXEh4tj9_hQv_1dUMtM/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/GPoHxguHC76FvTMi9skX9PsEtNPLUGkB4u5tZaxhgMY/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ![Building Photo - 164 E 112th St](https://images1.apartments.com/i2/jzKa2aVYeqM1A4DE6K0XuyxE71O_CIzxkkn5kslxnn0/117/164-e-112th-st-unit-2c-new-york-ny-building-photo.jpg) ,
[77 W 126th St Unit 4B](https://www.apartments.com/77-w-126th-st-new-york-ny-unit-4b/spf9cs7/),347-378-9736,"[77 W 126th St, New York, NY 10027](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/77+W+126th+St,+New+York,+NY+10027/data=!4m2!4m1!3e2)",,"$3,490",,,Cats Allowed,,,,,,,"* Smoke Free
* Wheelchair Accessible (Rooms)",,12 Months,* Laundry Facilities,,,,![Primary Photo - 77 W 126th St](https://images1.apartments.com/i2/BADa7SDSnsM36wIyUVRfe9n_iBoo_wTQDUEW21alOBA/111/77-w-126th-st-unit-4b-new-york-ny-primary-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/5yWz7dHuTphTsUWJYc2v05kKzP_cI4jxtz9sqhrYzc4/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/tAEcppghAL9PDYa1BAkkxFqTwvXW4Hd8NJ5-8WENljk/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/Xt-97_-TfZcso_tKWkBGktIjlJ2NvaumiTpRivgl9yY/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/eNQPR7kznRnhw17oxc_9yA1n_bod0pF8hACNL8RV2B4/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/zo3sIWZIzEXMYMgOilPdUvIZZkR15WgdFH8HdN69Tzw/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/BJDwnGEfYQD8_URIv3Xq19ATefqMhhK78iVdhXUNXnk/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 77 W 126th St](https://images1.apartments.com/i2/7yYvq1zIGQOvudwjIkGIhu5NGCo219bGZFDPflyTFBQ/117/77-w-126th-st-unit-4b-new-york-ny-building-photo.jpg) ,
[1372 Lexington Ave Unit 3](https://www.apartments.com/1372-lexington-ave-new-york-ny-unit-3/edh30vn/),844-281-5760,"[1372 Lexington Ave, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1372+Lexington+Ave,+New+York,+NY+10128/data=!4m2!4m1!3e2)",,"$3,000",,,Dogs and Cats Allowed,,,,,* Stainless Steel Appliances,,* Washer/Dryer,* Hardwood Floors,12 Months,,,,* Gated Entry,![Primary Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/mMOD0sUBqF8wZaEzGVxBBK9qaGXYR-0UymvqZGES7dk/111/1372-lexington-ave-unit-3-new-york-ny-primary-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/UEZMMC1T9f7erjk4O98MfcDlbaz3o8xxgV5aSBkIB4k/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/nSg8qhbpEGon-boXo5VPv9eU3oBbsW3iu-s8_1eI_wA/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/n7Tv_km4c_U8sliq0Vh_0xN4J_LFzNzATlwu9Zm095A/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/KNOKFR3n6yjjoBC76FNBygPDjsjpeJPxJPCdI-ipZm8/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/InNOJQTqShtp-ETcI9ZwPO8zCwrOvkrsOgu697pgaPM/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/oVz-AI6q2Iu6pnx72Rbwkf28T79IAanCNEZFN-jtoVI/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/GaOj7tTvEhUqFrXW7FlnLHKzzLwj4mtjvOQ6Lc4DWG4/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 1372 Lexington Ave](https://images1.apartments.com/i2/9TCcnsxZRqrBXT8N6LXlUo4gi-mv_8GwMlzPrxUHVfg/117/1372-lexington-ave-unit-3-new-york-ny-building-photo.jpg) ,
[7 E 32nd St Unit 5G](https://www.apartments.com/7-e-32nd-st-new-york-ny-unit-5g/ecgrfem/),929-432-0964,"[7 E 32nd St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/7+E+32nd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",,"$3,995",,,Dogs and Cats Allowed,,,,,,,,* Walk-In Closets,12 Months,* Laundry Facilities,,* Elevator,* Gated Entry,![Primary Photo - 7 E 32nd St](https://images1.apartments.com/i2/fTaWJCsPzH3W8NY5orFRpc4JH5kBMBj-bX7u_MzfAZI/111/7-e-32nd-st-unit-5g-new-york-ny-primary-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/yIXmK-IpoBVDFawjuEu3udV-uISyttVRztQs6DTGU_I/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/F3iUOIlXIZ1n3Os3APQI_8FO6mxjwiEbjBcr8CKJLyA/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/IAP0F8R8JUuglzOJIDOVVF8baM4JP6SQXTrp6B0MLtE/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/AZGML_EQuOUU06QecgXTB0birBA0WRvEn8iyryyqw2Y/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/YnyjOsiT6G8WHzPz8ha56yN9A05-4vHLLhVA8KU5AyY/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/RPewWCyGLS0J2h3hdnL4Dat2jtcMHW0JVs3SK-ZCQKM/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/LXHbAkfJ4kDmvZEcM4_EdgNuapbBiO2PaHNuZA6n0X0/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/iq9BcEdk4dpWe3S6T_6krSZ6I8BSWylEUYrdr_rEAFs/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ![Building Photo - 7 E 32nd St](https://images1.apartments.com/i2/2EKITv2ck1ikwuRsCv23PdF71GdDswR4HTq3GB00pZI/117/7-e-32nd-st-unit-5g-new-york-ny-building-photo.jpg) ,
[422 E 117th St Unit 1](https://www.apartments.com/422-e-117th-st-new-york-ny-unit-1/w8thtzh/),347-736-9214,"[422 E 117th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/422+E+117th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)",725 Sq Ft,"$2,495",,,,,,,,"* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities",,,,12 Months,,,,,![Back Yard (Private) - 422 E 117th St](https://images1.apartments.com/i2/K6ajWtML349XLSp_VEBt4ZRrttPGZ9T1VbO3MOoiDbE/111/422-e-117th-st-unit-1-new-york-ny-back-yard-private.jpg) ![Back Yard - 422 E 117th St](https://images1.apartments.com/i2/EiRuuasxwJfb2yh9yWHU4smcLpVI3O2ClTtJzbUHoUc/117/422-e-117th-st-unit-1-new-york-ny-back-yard.jpg) ![Kitchen - 422 E 117th St](https://images1.apartments.com/i2/PVpjyTeJUxQKh8yXzP3-ghBtXYA1W0uoiWRPC01ybQI/117/422-e-117th-st-unit-1-new-york-ny-kitchen.jpg) ![Living Room - 422 E 117th St](https://images1.apartments.com/i2/b5lPozPpbH3OB2wXXisQGdmmOmUzFJ7gvZjhSpFWz08/117/422-e-117th-st-unit-1-new-york-ny-living-room.jpg) ![Office - 422 E 117th St](https://images1.apartments.com/i2/BYtkaLQ49oZW7r3n3r19Ug-waZG-D-xxSlx5kv84lk0/117/422-e-117th-st-unit-1-new-york-ny-office.jpg) ![Bedroom - 422 E 117th St](https://images1.apartments.com/i2/XarronLwuuQ5VyAFZwE_v05FR9zOLFoqQu8XHKjQTgA/117/422-e-117th-st-unit-1-new-york-ny-bedroom.jpg) ![Bedroom - 422 E 117th St](https://images1.apartments.com/i2/mdbUR6NJPL3lZ8bn5e4d_5ViuTD1_jDvn22MOuWwh0k/117/422-e-117th-st-unit-1-new-york-ny-bedroom.jpg) ![Office - 422 E 117th St](https://images1.apartments.com/i2/RfChNIKraiaVifErEPlFNs5-2BgqJd2QZyyTCXIUBZ4/117/422-e-117th-st-unit-1-new-york-ny-office.jpg) ![Bathroom - 422 E 117th St](https://images1.apartments.com/i2/3BUatGsky4heq6s8wuqN5Lcf3RBh7PIC_V4XqGdapRo/117/422-e-117th-st-unit-1-new-york-ny-bathroom.jpg) ![Bathroom - 422 E 117th St](https://images1.apartments.com/i2/IrmFLwK3b_aU2gFZGwfL1CEBYE35D-bL6SAAU_F_0IY/117/422-e-117th-st-unit-1-new-york-ny-bathroom.jpg) ,
[854 W 180th St Unit 5C](https://www.apartments.com/854-w-180th-st-new-york-ny-unit-5c/mp6nmkj/),,"[854 W 180th St, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/854+W+180th+St,+New+York,+NY+10033/data=!4m2!4m1!3e2)",,"$3,850",,,Dogs and Cats Allowed,,,,* Spa,"* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Instant Hot Water",,* Washer/Dryer,* Hardwood Floors,12 Months,,,* Elevator,* Waterfront,![Primary Photo - 854 W 180th St](https://images1.apartments.com/i2/kAoZp2917pKS2awKfcUxNJvgsyIYqBKDCAlSPLKPGvU/111/854-w-180th-st-unit-5c-new-york-ny-primary-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/cbFydXZJByJMU_sTaDYi53El4S6L1hp94NUiZZzredM/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/c_3ZmJDurPipLl2L_87Jsi1-14YD_gWkJPLAogf1aNk/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/cOfIe32dQlqgLQ8KzS0dBEt-77tMeBhLU5tVx36UGLI/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/VSDyRpozjUdjAyTThQHXfyJZF7bzihsQuYNkI7_4O-o/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/2rw59SKo2ZJ0ayZZlObgcMBzKESHbm6CFWgYa3ztfnk/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/RpRfXZTtJJ49npzTYcX-UK6YK2Myd2VxtWArHxZLT3c/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/A4Mjr9yq0jhsn-YkbNXjNL9j-8Ua14LYVLAi2eO7arg/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/8_d_KY2zbsJi7ezYkf24Db6QafEdM9P2GjntzecsxY0/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/6M6jez7VMHVvfOCdzcOsYV9C0MUCfc4C4AfkS_8StUU/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ![Building Photo - 854 W 180th St](https://images1.apartments.com/i2/av_e7feFOD8JWcMAWQNyhBFtDEMb3UzQbVNqaSvRJiI/117/854-w-180th-st-unit-5c-new-york-ny-building-photo.jpg) ,
[304 E 62nd St Unit 3](https://www.apartments.com/304-e-62nd-st-new-york-ny-unit-3/qs0c32w/),855-472-8898,"[304 E 62nd St, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/304+E+62nd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",1 Sq Ft,"$2,495",,,Dogs and Cats Allowed,,,,,,,,* Hardwood Floors,12 Months,,,,,![Primary Photo - 304 E 62nd St](https://images1.apartments.com/i2/qMpp4ZMqBpt1zJFU4gKcf26hyD_8_QzuhFX2tR6AESM/111/304-e-62nd-st-unit-3-new-york-ny-primary-photo.jpg) ![Building Photo - 304 E 62nd St](https://images1.apartments.com/i2/ctGPCJjhiETmu4r_pqmR4pebbvNWKg5NLeSiRBiBFLk/117/304-e-62nd-st-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 304 E 62nd St](https://images1.apartments.com/i2/GMRQ-qA_M1SOvSnIcwHJtz0o7BpmORVBOwRPts57gMI/117/304-e-62nd-st-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 304 E 62nd St](https://images1.apartments.com/i2/ghEqKPQdbho4CTzDgyGPdK9gWA6fyBuuOtymzD4tLgs/117/304-e-62nd-st-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 304 E 62nd St](https://images1.apartments.com/i2/C65OENyfiO1yEY1-5qleR2Y1zsXofXANMJgNi3pCfAM/117/304-e-62nd-st-unit-3-new-york-ny-building-photo.jpg) ![Building Photo - 304 E 62nd St](https://images1.apartments.com/i2/xlwE2mVp3ontFnwVl7t7hcMfPaKejCGI5KFo7JBivKE/117/304-e-62nd-st-unit-3-new-york-ny-building-photo.jpg) ,
