Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
324 W 84th St Unit 34,844-323-0160,"324 W 84th St, New York, NY 10024",550 Sq Ft,"$2,850",,,Dogs and Cats Allowed,,,,,,,,,12 Months,* Laundry Facilities,,,,"['https://images1.apartments.com/i2/FbaaLws7MP1ANKpPbjVxR4JPakdre8pKJvzSSOnhLgA/111/324-w-84th-st-unit-34-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/UcM9swLu6KeN2dYrS3ocOexqgbVpWNYKIv4lZqBQbDA/117/324-w-84th-st-unit-34-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/SmFfiLUF4rNw8WPVi2bM0Qbd2VxkT6m2VAg8zsQuz2s/117/324-w-84th-st-unit-34-new-york-ny-building-photo.jpg']",
334 W 88th St Unit 5,929-229-2180,"334 W 88th St, New York, NY 10024",600 Sq Ft,"$2,520",,,,,,,,,,,,,,,,,"['https://images1.apartments.com/i2/bD9jBnSS-F4Ek3m33DepCViedCa6RLhoV2yNHtAYEjY/111/334-w-88th-st-unit-5-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/dMFtBI9oOy3oq4JYPs13EBnfj0fNzAdsgvJFZMhQOPQ/117/334-w-88th-st-unit-5-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/l0DPikgkeIwcRw_1kQoj4sz8H8JfCqktZqqZoMEmgXI/117/334-w-88th-st-unit-5-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/d5LpKLqxgol3vEF0EPXdkf24DchJagSIjeHJNqD75Wk/117/334-w-88th-st-unit-5-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/fOa5eDpyYw6I-5j4AFPGarw06tnFm645sCv3VKNTpkE/117/334-w-88th-st-unit-5-new-york-ny-building-photo.jpg']",
77 Irving Pl Unit 3,844-805-3584,"77 Irving Pl, New York, NY 10003",700 Sq Ft,"$3,250",,,Dogs and Cats Allowed,,,,,,,* Smoke Free,,12 Months,,,,,"['https://images1.apartments.com/i2/GZWAkK0ifEaJsuCF1BPnqmbMhy6qs14AfPvflVx3KxU/111/77-irving-pl-unit-3-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/zbYOc3giobQfufmKAzfaB--xH1SIfuADNJEZ8WyYnrA/117/77-irving-pl-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/fRwwnuEsAWvu8p5qC6QBF27REIcy1KFZ0ViVpKVLRvk/117/77-irving-pl-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/qtLfsHB3hpnt3Foych34m9Rqwu1myjDXfhLXR12uZrw/117/77-irving-pl-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/lcxj6CMmT43bQVHmhOeyZ4kvDNiElELlybiyOuuN25w/117/77-irving-pl-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/phGvDV7Qx40m_59SnN6gAbDkS_xDcYYpnaCs6naGQlg/117/77-irving-pl-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/ELemyz8gR3q6x0Tv4Pm6T_orJhLILIxf6o9OR8bl-6Y/117/77-irving-pl-unit-3-new-york-ny-building-photo.jpg']",
535 E 87th St Unit 4B,844-829-2271,"535 E 87th St, New York, NY 10128",,"$2,750",,,Dogs and Cats Allowed,,,,,,,* Smoke Free,,12 Months,,,,,"['https://images1.apartments.com/i2/yDkD51JCRefNNAbmoOGauvYwXHZvaUtvg0b3M9ver9M/111/535-e-87th-st-unit-4b-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/eVAIrwlw3HCgJuhGPIXbaQFTgaJ8U0V0UTlcjXFs2P4/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/QuIOTfU1O2XSVRbsN5iKYefzeu953LQ88Sem8IFmu_M/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/LoOje9hgP-J5YN4DYDAWo4KH0SyUzIkj96j1xlu6zxU/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/VlVDRIfVrGY_ystn1M3kxtpT_UwKVyKoazGSyHBoobM/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/UjZk7WGvlzGbwCfW1YHAWux2nmdPoLsEjeMMvya02j4/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/J_t7r6uM3wg8vt7L3kY_ivkAYQ2h-_0uLIogwI8ugXQ/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/HpZkdiiHnb1QwuS4gbPpY0XupMaqWj4pGG6Sf-Ycy7I/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/jONsxXigPoRklg6G_6H5u1gPe2yKmeirB_fcED_AeZ4/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/4BAHj0vY3m3kl3oLkrLo29L5sSb0BsIVXInYGhIKb98/117/535-e-87th-st-unit-4b-new-york-ny-building-photo.jpg']",
184 E 93rd St Unit 4,973-821-7354,"184 E 93rd St, New York, NY 10128",,"$1,995",,,Dogs and Cats Allowed,,,,,,,* Smoke Free,,12 Months,,,,,"['https://images1.apartments.com/i2/XJdItWP6NeWgm5DELZSMbBy5sL97I1IN4OpfWokkZ70/111/184-e-93rd-st-unit-4-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/qGMChWCQIDtJt1gOEERvzJB7iGA6vap079nizK-K7Zc/117/184-e-93rd-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Y7aVpFDpo-jKCz4_xRIeR7DEzQb016dy6mCrbV-1btA/117/184-e-93rd-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/0M6Iaaa8b6dYO4sw7-z70jYo4QM3M01ykejHkbrpdVw/117/184-e-93rd-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/LmpJblGECRdrlR_F10KYywOwcepPPzQFY2MT2oJmTMw/117/184-e-93rd-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Uczt546nSEfT1jO-XcEaFZVILhnmNbonfcHK4IrdgBQ/117/184-e-93rd-st-unit-4-new-york-ny-building-photo.jpg']",
304 W 90th St Unit 3C,929-299-4652,"304 W 90th St, New York, NY 10024",,"$1,975",,,,,,,,,,,,,,,,,"['https://images1.apartments.com/i2/IYpG8_ABP2IAF0cn5gWeZ-eixlfPf-9FggzpRoWzAXw/111/304-w-90th-st-unit-3c-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/SfwR05BMNJY5VPaoXEhTR0-A_E56vD-q3bDXVuq6g-E/117/304-w-90th-st-unit-3c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/E3BhJmkGwqTz3CSYvgp_Ff_eILVTxj_ex8EkDg9WepI/117/304-w-90th-st-unit-3c-new-york-ny-building-photo.jpg']",
247 E 72nd St Unit 5FE,844-291-2376,"247 E 72nd St, New York, NY 10021",800 Sq Ft,"$2,525",,,Dogs and Cats Allowed,,,,,,,,,12 Months,* Laundry Facilities,,,,"['https://images1.apartments.com/i2/JMJyPcAumW9Hod5rpcJlKVlx1ajCLSiy5_xWmz8Zs2w/111/247-e-72nd-st-unit-5fe-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/SWgGaX-Uh8LcHn_XU4tZimcT28Uld5L-3OukwvU8cM8/117/247-e-72nd-st-unit-5fe-new-york-ny-building-photo.jpg']",
334 E 93rd St Unit 7,,"334 E 93rd St, New York, NY 10128",550 Sq Ft,"$2,025",,,,,,,,,,,,,,,,,"['https://images1.apartments.com/i2/sFwdXzhxOos2pm9GcQQz0t_UdW5x4vW13R_A-jHNRrM/111/334-e-93rd-st-unit-7-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/BbPR-JGFYu4tsOx2GvfRsT246JJuqEo5k6YqLMolflk/117/334-e-93rd-st-unit-7-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/4R4ygXzpclGXC_e4f3-GUeGAo7C6de8VY50U444Iino/117/334-e-93rd-st-unit-7-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/LELkjhS1zM5mtduWmuwGFtTFHgenHa0V7PZEFWY3aMA/117/334-e-93rd-st-unit-7-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/dhCqemQlMeSdfRA-p5sYKhjIEZbu3zTHkQfZicFcG8M/117/334-e-93rd-st-unit-7-new-york-ny-building-photo.jpg']",
422 E 81st St Unit 3D,,"422 E 81st St, New York, NY 10028",550 Sq Ft,"$2,200",,,Dogs and Cats Allowed,,,,,,,,,12 Months,,,,,"['https://images1.apartments.com/i2/74sou1KCIHd-qA0fGspx92COmlp_WGDlIwiAvRS0ksw/111/422-e-81st-st-unit-3d-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/z8axemvyokhg6KyYJHjJ4gkEEmI6Fbl1dFZrNBjgEmg/117/422-e-81st-st-unit-3d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/wnxqkg4dyCSZqnZJUY1KGfE8fR15OY4nPo3kgwmNMGg/117/422-e-81st-st-unit-3d-new-york-ny-building-photo.jpg']",
1685 1st Avenue Unit 20,,"1685 1st Avenue, New York, NY 10128",600 Sq Ft,"$2,000",,,Cats Allowed,,,,,,,,,12 Months,,,,,"['https://images1.apartments.com/i2/rCiN2AZMLkFd5mHMzp9pFmOCcrL_ApxLZtbblS8fsfI/111/1685-1st-avenue-unit-20-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/Fi1yESNdFISVW-VHICoepnQ5CJJO7CKYi4R07AggZBk/117/1685-1st-avenue-unit-20-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/VFZu5YliiJHRr6Cyh35r6HOKQfQs2Aa9dW887mBjpbU/117/1685-1st-avenue-unit-20-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/klGa7W0VRzDorpLQH5m3FpqZemmwz58PMfxbck43zqQ/117/1685-1st-avenue-unit-20-new-york-ny-building-photo.jpg']",
237 E 22nd St Unit 1G,,"237 E 22nd St, New York, NY 10010",700 Sq Ft,"$2,760",,,Dogs and Cats Allowed,,,,,,,,,12 Months,* Laundry Facilities,,,,"['https://images1.apartments.com/i2/XE5Q6ievLNZaBRbO7Ul4-2ypdaAhZgZSGlfQ25BDyHs/111/237-e-22nd-st-unit-1g-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/Iz27OkNd8ADN8zf-08yAgdy6bVOtKZ51qVGL4Jj8oE4/117/237-e-22nd-st-unit-1g-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/y2ZtolUe-xWKnmgggrKrH83nW2qbjJxW95iXoJrLLJk/117/237-e-22nd-st-unit-1g-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/j--XpPuCAkNy5Q3QiDGvBc_1oE9lxJsiZFRLI2RlZ4A/117/237-e-22nd-st-unit-1g-new-york-ny-building-photo.jpg']",
401 E 22nd St Unit 3J,,"401 E 22nd St, New York, NY 10010",700 Sq Ft,"$4,000",,,,,,,,"* Dishwasher
* Stainless Steel Appliances
* Microwave",,,,12 Months,,,* Elevator,,"['https://images1.apartments.com/i2/v3b_2NAM5iRVBHqdTZ6HI_pVqBdCrFuwlD0FJKzIDq8/111/401-e-22nd-st-unit-3j-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/SPUKx1kgrNyBJTM7Pr9gdHSZlTrSIfjoGiZCwyNTIzs/117/401-e-22nd-st-unit-3j-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/bdfCatI-AwwA64ht-3FuHbdB-oOtyBfMS1qE4AcPy7o/117/401-e-22nd-st-unit-3j-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/_TFRPgWeLZ5Iv7pe2f31_bYEAEeYg9pg6IAXpdclGO4/117/401-e-22nd-st-unit-3j-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/9p_Go0iZYAtA8QVxjR40WbnITBrtEQUaJNIrVdCgGto/117/401-e-22nd-st-unit-3j-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/UEO-QpdCz6-hghUKxWOoVnrMQlELz6xGT2TfXf8GsRY/117/401-e-22nd-st-unit-3j-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/K60FqYGpZhqWrb3mj0OTXnVbwiO6aLp0uGJJLAEDuDQ/117/401-e-22nd-st-unit-3j-new-york-ny-building-photo.jpg']",
159 E 99th St Unit 1D,,"159 E 99th St, New York, NY 10029",550 Sq Ft,"$1,825",,,,,,,,* Kitchen,,,* Hardwood Floors,12 Months,,,,,"['https://images1.apartments.com/i2/O28Lnea_gp613_4EYSvzH9QSELreIQxeOjmXnRV_RFo/111/159-e-99th-st-unit-1d-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/ttHUvNvvfWNyAYZrLg7aEdLeSFhdxwwFutQUeArXxtg/117/159-e-99th-st-unit-1d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/MKphSYOtP8BoyKsy8MspunItf52vIaA6DWpTPC2Cp4U/117/159-e-99th-st-unit-1d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/-4ZEwUqpZkxUgGhTHvn_mSf5LhrD8iEe4FDlnG7VRRE/117/159-e-99th-st-unit-1d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/R283DecrN3j9YGdEmu26dSpR6sopngqoSWR5Ea9_LrY/117/159-e-99th-st-unit-1d-new-york-ny-building-photo.jpg']",
427 E 73rd St Unit 4F,,"427 E 73rd St, New York, NY 10021",700 Sq Ft,"$2,850",,,Cats Allowed,,,,,"* Dishwasher
* Kitchen",,,* Hardwood Floors,12 Months,,,,,"['https://images1.apartments.com/i2/zCtJc2QfY2lZOnKr9bzZdB56RmaAZDdHPSP-voWp6FA/111/427-e-73rd-st-unit-4f-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/0V_pK_IOu8zcsIJf3C1DxWzc5YgasdkHpAYhfHqKmWw/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/XJvMED9AwFkaWS2QGA7U1MlF-lD25eR32TtiXbOeDOE/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gdCwkCBA3t8EFNjk4fTEZaR7PUUKURzAAiTHaN-HYDs/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/MRehqX4oe3jEG7YJ9z_tM2yTUhfnM8P68KCvKXxWNJE/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gNN1DLzTDYk7g3tWTyW6QHPLwcl36a3XNZ2CTVPIlkA/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/vm51HgqmxK1eEAX3TxkETXWneCFjpVIekEZeZWDuRkw/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/7Yiwd0evtMOKCH7NdIr16_rJcywXuNz1G1h97Ee-OYE/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/YzBhH9rvzteL49LU7JQYo4XOrl62qrLN4H6s3JEPDPY/117/427-e-73rd-st-unit-4f-new-york-ny-building-photo.jpg']",
492 E 74th St Unit 5A,,"492 E 74th St, New York, NY 10021",600 Sq Ft,"$2,275",,,,,,,,"* Stainless Steel Appliances
* Kitchen
* Instant Hot Water",,* Intercom,* Hardwood Floors,12 Months,,,* Elevator,,"['https://images1.apartments.com/i2/M-Y7SYDPSdfbKDNHTnLJik7gX6vMDSpmnP3_QTui95Y/111/492-e-74th-st-unit-5a-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/BLJM6XcEXsZkFRODu_emdVCPQ6Kp_xhRe7GAMbr1QKw/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/pDfc17F8WBj_HeQp2HdTojawL6cqlKxL1HeIBZeUvDI/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/wBeXJ8fqyuIc4DdTXTvgjJ0ACPcLaX1l2PLfRCglrRM/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/ApPdfqku09bhpV2vGoIuPTHnyTXWktHBbwa07qdDMlI/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/7PWAWYTRMvINNPxhby-bQJxEPP1iqiXhXbzhaJsxa0k/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/9H7qN9217B3I6L1YlAw4HU9OVg5YFIGC8XuWbljvIYg/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/B7kwrW6D2Q6Nch34jeoDZdkWUBEebC_l3zuujbVeRDA/117/492-e-74th-st-unit-5a-new-york-ny-building-photo.jpg']",
315 W 74th St,973-587-6764,"315 W 74th St, New York, NY 10023",600 Sq Ft,"$2,450",,,Dogs and Cats Allowed,,,,,,,,,12 Months,,,,,"['https://images1.apartments.com/i2/5QN1qzyx7kefuk-OdbpFURuFCbLyZg047XZcCe_ss-Y/111/315-w-74th-st-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/_l2fI23wU1KQlJ0qtbDok3JRmPZ3LDPDMlsnePSHW9I/117/315-w-74th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/8hXaoMeUEIjSu58cA--5t1PC12X_mKrm6slzD9f5YcM/117/315-w-74th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/5vPbiIQgQsJLZp1yw_8Cp60QCsbS3knfV9PUYJNmm3I/117/315-w-74th-st-new-york-ny-building-photo.jpg']",
8 W 75th St Unit 2B,973-587-6775,"8 W 75th St, New York, NY 10023",500 Sq Ft,"$2,475",,,,,,,,,,,,,,,,,"['https://images1.apartments.com/i2/J3xueO3iQpvCzFgyM7EGB7Z0hGZAwH0UGxGY-G_o-no/111/8-w-75th-st-unit-2b-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/dv7baPOEE2pgrBlLYPddqJvASPUOT-RWZIf_nSzXqPE/117/8-w-75th-st-unit-2b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/6FbDy_dmxXOGrwfb0_gTMm_2dRliUSzdqMbT94N_bUg/117/8-w-75th-st-unit-2b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/_RNb6d4DVMdM7rb5fjLt5lVq6l7MgS5wT9Qf642x5Kc/117/8-w-75th-st-unit-2b-new-york-ny-building-photo.jpg']",
222 E 87th St Unit 2C,347-363-1793,"222 E 87th St, New York, NY 10128",,"$3,200",,,Cats Allowed,,,,,,,,,12 Months,,,,,"['https://images1.apartments.com/i2/1Pfx_ogrxlH_xrnClJM-W-7joQ8g19mkaLY9-2J-LNA/111/222-e-87th-st-unit-2c-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/3DUpFJAxj40G_oa330ld67XImhTIATLywKHm2aPqa1I/117/222-e-87th-st-unit-2c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/tCemrYbQboB43aD3zM-mN5Ys91kGA1poy9vR0AbFAZ4/117/222-e-87th-st-unit-2c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/dUvEAH0FY4vr2q0RlaWoA07VMtOPlWmmXNr_oR3d6rw/117/222-e-87th-st-unit-2c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/TAtquTk0uFgv1KLOQugw4MrdUhITlkt51YrvDynHie4/117/222-e-87th-st-unit-2c-new-york-ny-building-photo.jpg']",
308 W 30th St Unit 5e,855-278-3741,"308 W 30th St, New York, NY 10001",,"$3,995",,,Dogs and Cats Allowed,,,,,,,,,12 Months,,,,,"['https://images1.apartments.com/i2/LQdA0unI8U8AiF8L4Ox8hZLnFPw1DmyrWcUM2xH5zpw/111/308-w-30th-st-unit-5e-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/-sS4HmKSWJ0kSsHBx_kZDW7weELdoXO1uH6_soXJBFg/117/308-w-30th-st-unit-5e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/9fg6NsV3p2YBgrKvOddPICJ-LpCt_dwnc1VmBhRKuTk/117/308-w-30th-st-unit-5e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/wrJFUrL57iIiGs8a9pBWGb2DpWpebzaE0PIa5j7ZYLs/117/308-w-30th-st-unit-5e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/c88DlWA1jwH_LGu5CaZEBjM3rbey8w-8--iz2Cw49hI/117/308-w-30th-st-unit-5e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/a4DnPKFiBLJYvaadcZVWCxQWx6HT4SgyJ2_7oze4eeI/117/308-w-30th-st-unit-5e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/yh1zil8M0f_Nv0uXuRPzmNeaopysfE6zd3PoaX0E3lk/117/308-w-30th-st-unit-5e-new-york-ny-building-photo.jpg']",
337 E 90th St Unit 5D,973-947-8681,"337 E 90th St, New York, NY 10128",,"$1,800",,,Cats Allowed,,,,,,,* Smoke Free,,12 Months,,,,,"['https://images1.apartments.com/i2/eZYpKTxtQ1EK4FWFqBgSmfrgouyumTgHb1au4siuiZk/111/337-e-90th-st-unit-5d-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/KEw7D7ZdKOnFTJe303ZWkd6wD55_l0S1BW7D2Gwjj2M/117/337-e-90th-st-unit-5d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/fDacSywzbCbD1QpDgBsUr2BC4ELeCgoS5y456EbCj-w/117/337-e-90th-st-unit-5d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/1KQN2bf0tZy_iYLXN0hJnB-jB9pPotLEoNkCQJQuzII/117/337-e-90th-st-unit-5d-new-york-ny-building-photo.jpg']",
448 W 54th St Unit 5C,844-207-1068,"448 W 54th St, New York, NY 10019",550 Sq Ft,"$2,300",,,,,,,,,,,,,,,,,"['https://images1.apartments.com/i2/YZ7FK_MfjqnNhocHIg-Pn-MpcRCb5r8y0nxPeob05CM/111/448-w-54th-st-unit-5c-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/q7tWh4VE4lROjfHDvbFi5ivRt7Ms2UZBSRJALG90W5E/117/448-w-54th-st-unit-5c-new-york-ny-building-photo.jpg']",
505 W 22nd St Unit 5W,844-383-1759,"505 W 22nd St, New York, NY 10011",,"$3,650",,,Dogs and Cats Allowed,,,,,,,* Smoke Free,,12 Months,* Laundry Facilities,,,,"['https://images1.apartments.com/i2/KdfQaIijdZ4m25ByAvV_PI5yJj_nKJgr3zfLgcSqxuE/111/505-w-22nd-st-unit-5w-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/NsoPXjtS8Ngfg2Ki2ZWwV8-46QgzBPG5Vqhi9Z21w4E/117/505-w-22nd-st-unit-5w-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/ABX21N6EyiuebHQO8uFzN0eODn05YLb8jnQNHQr6X8w/117/505-w-22nd-st-unit-5w-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/HltW7q6EfsiV2TZPKB_q3fqWCPm5o9WFUODAxTOH-3M/117/505-w-22nd-st-unit-5w-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/JIyeIm8k9TEzgAtjZ9s3tjizBM0izXesY_Rk5zUwQ2w/117/505-w-22nd-st-unit-5w-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/a9ySlRwpuss1nSyMFJ7enr5dtwN7qTCQgwy4aIU_Rro/117/505-w-22nd-st-unit-5w-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/-rFeg5skK6aTmD8azSlXvPr5yrl2L-42qZ0w45mzysg/117/505-w-22nd-st-unit-5w-new-york-ny-building-photo.jpg']",
11 E 117th St Unit 3,917-781-4492,"11 E 117th St, New York, NY 10035",,"$2,695",,,No Pets Allowed,,,,,,,,* Hardwood Floors,12 Months,* Gated Entry,,,,"['https://images1.apartments.com/i2/0BrtH_Cbi_ozr2LRGJzg85JGMRlFTzVCqGdQf_N9ty8/111/11-e-117th-st-unit-3-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/5dzRJtZuoih5u6fxXwlOwvpplG9YXYoCJ6Xa9L0pzZQ/117/11-e-117th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/7L7aqmHUnhMC-axoyalaOybXkSi8AYzP3Q7HNCb3heU/117/11-e-117th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/ZhKoimhG3SfrJksT4FPQWWYmzv_5k_ctAXzEgcpqD-g/117/11-e-117th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/CtvWp8nzu15bsHsKS0NC63jyaFYwXMT6JJDJErmtnl8/117/11-e-117th-st-unit-3-new-york-ny-building-photo.jpg']",
200 W 88th St Unit 2C,855-206-7763,"200 W 88th St, New York, NY 10024",600 Sq Ft,"$2,200",,,,,,,,,,,,,,,,,"['https://images1.apartments.com/i2/-B8OGeoNCtCw-3wUZGhRF5P9I3vhMWmRJc2xjSq9ovg/111/200-w-88th-st-unit-2c-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/tTPwj-RVDERD46Cb-jc560LtIeEg1Yq91YNVOVdx2A0/117/200-w-88th-st-unit-2c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/4QNnpEKYAoYpXFGCt92jGn7svviKxgUqiwUcmDWLKi0/117/200-w-88th-st-unit-2c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/UdO2pJX7YPtb_LNqVufCmsEyPqmsfpurA4TgzSaP9aw/117/200-w-88th-st-unit-2c-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Ja-8_hPDnBAED70IIAy83rCjGIhB-n_823rYSNoFHh8/117/200-w-88th-st-unit-2c-new-york-ny-building-photo.jpg']",
