Option Name,Address
[45 Tiemann Pl Unit 5k](https://www.apartments.com/45-tiemann-pl-new-york-ny-unit-5k/gpffc5z/),"[45 Tiemann Pl, New York, NY 10027](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/45+Tiemann+Pl,+New+York,+NY+10027/data=!4m2!4m1!3e2)"
[503 W 54th St Unit 0911](https://www.apartments.com/503-w-54th-st-new-york-ny-unit-0911/r23dzz1/),"[503 W 54th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/503+W+54th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[621 W 51st St Unit 3](https://www.apartments.com/621-w-51st-st-new-york-ny-unit-3/z0ktl2x/),"[621 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/621+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[28 W 47th St Unit 5](https://www.apartments.com/28-w-47th-st-new-york-ny-unit-5/png3hpv/),"[28 W 47th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/28+W+47th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[326 E 58th St Unit 2](https://www.apartments.com/326-e-58th-st-new-york-ny-unit-2/p2v4kgv/),"[326 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/326+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)"
[4996 Broadway Unit 4F](https://www.apartments.com/4996-broadway-new-york-ny-unit-4f/9y4n984/),"[4996 Broadway, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/4996+Broadway,+New+York,+NY+10034/data=!4m2!4m1!3e2)"
[346 E 87th St Unit c](https://www.apartments.com/346-e-87th-st-new-york-ny-unit-c/beb9wl8/),"[346 E 87th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/346+E+87th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[2 Water St Unit 6C](https://www.apartments.com/2-water-st-new-york-ny-unit-6c/bvvmrz8/),"[2 Water St, New York, NY 10004](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2+Water+St,+New+York,+NY+10004/data=!4m2!4m1!3e2)"
[2 Water St Unit 6D](https://www.apartments.com/2-water-st-new-york-ny-unit-6d/452tfck/),"[2 Water St, New York, NY 10004](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2+Water+St,+New+York,+NY+10004/data=!4m2!4m1!3e2)"
[2 Water St Unit 7H](https://www.apartments.com/2-water-st-new-york-ny-unit-7h/6byrs2r/),"[2 Water St, New York, NY 10004](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2+Water+St,+New+York,+NY+10004/data=!4m2!4m1!3e2)"
[4500 Broadway Unit 5F](https://www.apartments.com/4500-broadway-new-york-ny-unit-5f/e3xc9zn/),"[4500 Broadway, New York, NY 10040](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/4500+Broadway,+New+York,+NY+10040/data=!4m2!4m1!3e2)"
[334 E 6th St Unit NoFee](https://www.apartments.com/334-e-6th-st-new-york-ny-unit-nofee/5e3h9mq/),"[334 E 6th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/334+E+6th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[89 Clinton St Unit NoFee](https://www.apartments.com/89-clinton-st-new-york-ny-unit-nofee/8q97370/),"[89 Clinton St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/89+Clinton+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[495 W 37th St Unit 3E](https://www.apartments.com/495-w-37th-st-new-york-ny-unit-3e/n49jhxn/),"[495 W 37th St, New York, NY 10018](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/495+W+37th+St,+New+York,+NY+10018/data=!4m2!4m1!3e2)"
[567 7th Ave Unit 29D](https://www.apartments.com/567-7th-ave-new-york-ny-unit-29d/jq5nlp4/),"[567 7th Ave, New York, NY 10018](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/567+7th+Ave,+New+York,+NY+10018/data=!4m2!4m1!3e2)"
[557 10th Ave Unit 27A](https://www.apartments.com/557-10th-ave-new-york-ny-unit-27a/sp43s04/),"[557 10th Ave, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/557+10th+Ave,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[328 W 47th St Unit 1C](https://www.apartments.com/328-w-47th-st-new-york-ny-unit-1c/cv33qwf/),"[328 W 47th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/328+W+47th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[169 W 228th St Unit 3B](https://www.apartments.com/169-w-228th-st-new-york-ny-unit-3b/3vbkbwd/),"[169 W 228th St, New York, NY 10463](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/169+W+228th+St,+New+York,+NY+10463/data=!4m2!4m1!3e2)"
[85-50 Forest Pkwy Unit D](https://www.apartments.com/85-50-forest-pkwy-new-york-ny-unit-d/91p69l7/),"[85-50 Forest Pkwy, New York, NY 11421](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/85-50+Forest+Pkwy,+New+York,+NY+11421/data=!4m2!4m1!3e2)"
[684 Riverside Dr Unit 1](https://www.apartments.com/684-riverside-dr-new-york-ny-unit-1/50kynbq/),"[684 Riverside Dr, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/684+Riverside+Dr,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[155 E 108th St Unit 4](https://www.apartments.com/155-e-108th-st-new-york-ny-unit-4/lmv5wvd/),"[155 E 108th St, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/155+E+108th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[444 E 118th St Unit 3](https://www.apartments.com/444-e-118th-st-new-york-ny-unit-3/qy3x6mw/),"[444 E 118th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/444+E+118th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[2371 1st Avenue Unit 15](https://www.apartments.com/2371-1st-avenue-new-york-ny-unit-15/x6v3s5m/),"[2371 1st Avenue, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2371+1st+Avenue,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[454 E 119th St Unit 2R](https://www.apartments.com/454-e-119th-st-new-york-ny-unit-2r/y0tsjet/),"[454 E 119th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/454+E+119th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[324 E 120th St](https://www.apartments.com/324-e-120th-st-new-york-ny/n0ml1fm/),"[324 E 120th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/324+E+120th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[442 W 188th St Unit 10](https://www.apartments.com/442-w-188th-st-new-york-ny-unit-10/vmk7ted/),"[442 W 188th St, New York, NY 10040](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/442+W+188th+St,+New+York,+NY+10040/data=!4m2!4m1!3e2)"
[160 E 82nd St](https://www.apartments.com/160-e-82nd-st-new-york-ny/ch9v4dd/),"[160 E 82nd St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/160+E+82nd+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"
[101 Barclay St Unit 12D](https://www.apartments.com/101-barclay-st-new-york-ny-unit-12d/hqh9y32/),"[101 Barclay St, New York, NY 10007](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/101+Barclay+St,+New+York,+NY+10007/data=!4m2!4m1!3e2)"
[101 W 16th St Unit 326](https://www.apartments.com/101-w-16th-st-new-york-ny-unit-326/geyx2dw/),"[101 W 16th St, New York, NY 10011](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/101+W+16th+St,+New+York,+NY+10011/data=!4m2!4m1!3e2)"
[208 W 138th St](https://www.apartments.com/208-w-138th-st-new-york-ny/5nve7zq/),"[208 W 138th St, New York, NY 10030](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/208+W+138th+St,+New+York,+NY+10030/data=!4m2!4m1!3e2)"
[5 Beekman St Unit 43A](https://www.apartments.com/5-beekman-st-new-york-ny-unit-43a/76hq2sy/),"[5 Beekman St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/5+Beekman+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[224 Varick St Unit 3L](https://www.apartments.com/224-varick-st-new-york-ny-unit-3l/etptddn/),"[224 Varick St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/224+Varick+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[25 N Moore St Unit PH](https://www.apartments.com/25-n-moore-st-new-york-ny-unit-ph/7thlwrw/),"[25 N Moore St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/25+N+Moore+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[421 Hudson St Unit 2C](https://www.apartments.com/421-hudson-st-new-york-ny-unit-2c/b0mxcbb/),"[421 Hudson St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/421+Hudson+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[341 W 11th St Unit 2P](https://www.apartments.com/341-w-11th-st-new-york-ny-unit-2p/b78xd28/),"[341 W 11th St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/341+W+11th+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[561 Broadway Unit 5B](https://www.apartments.com/561-broadway-new-york-ny-unit-5b/gxq1w2z/),"[561 Broadway, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/561+Broadway,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[541 Hudson St](https://www.apartments.com/541-hudson-st-new-york-ny/kl6dsfc/),"[541 Hudson St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/541+Hudson+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[26 Wooster St](https://www.apartments.com/26-wooster-st-new-york-ny/veh6s7e/),"[26 Wooster St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/26+Wooster+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[110 E 78th St](https://www.apartments.com/110-e-78th-st-new-york-ny/hjnvz91/),"[110 E 78th St, New York, NY 10075](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/110+E+78th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)"
[20 W 53rd St Unit 30N](https://www.apartments.com/20-w-53rd-st-new-york-ny-unit-30n/tl74s8c/),"[20 W 53rd St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/20+W+53rd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[601 W 114th St](https://www.apartments.com/601-w-114th-st-new-york-ny/jw7wyq4/),"[601 W 114th St, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/601+W+114th+St,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[158 Mercer St Unit 7M](https://www.apartments.com/158-mercer-st-new-york-ny-unit-7m/w46kmrh/),"[158 Mercer St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/158+Mercer+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[15 W 53rd St Unit PH](https://www.apartments.com/15-w-53rd-st-new-york-ny-unit-ph/k1xwqsc/),"[15 W 53rd St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/15+W+53rd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[25 Central Park West Unit 12](https://www.apartments.com/25-central-park-west-new-york-ny-unit-12/z5vjblz/),"[25 Central Park West, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/25+Central+Park+West,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[1110 Park Ave Unit G](https://www.apartments.com/1110-park-ave-new-york-ny-unit-g/hhqyhx3/),"[1110 Park Ave, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1110+Park+Ave,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[66 Leonard St Unit PH](https://www.apartments.com/66-leonard-st-new-york-ny-unit-ph/ejxsgqn/),"[66 Leonard St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/66+Leonard+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[158 Mercer St Unit A](https://www.apartments.com/158-mercer-st-new-york-ny-unit-a/53w90hm/),"[158 Mercer St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/158+Mercer+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[9 Sullivan St Unit 9A](https://www.apartments.com/9-sullivan-st-new-york-ny-unit-9a/52gne6n/),"[9 Sullivan St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/9+Sullivan+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[36 Laight St Unit PH](https://www.apartments.com/36-laight-st-new-york-ny-unit-ph/t3mmngb/),"[36 Laight St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/36+Laight+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[19 E 62nd St](https://www.apartments.com/19-e-62nd-st-new-york-ny/fr7hdkt/),"[19 E 62nd St, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/19+E+62nd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)"
[21 E 1st St Unit 10L](https://www.apartments.com/21-e-1st-st-new-york-ny-unit-10l/wczf4yj/),"[21 E 1st St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/21+E+1st+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[90 Horatio St Unit PH](https://www.apartments.com/90-horatio-st-new-york-ny-unit-ph/9gsp817/),"[90 Horatio St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/90+Horatio+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[25 N Moore St Unit 9C](https://www.apartments.com/25-n-moore-st-new-york-ny-unit-9c/th3jmh8/),"[25 N Moore St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/25+N+Moore+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[25 Columbus Cir Unit 53E](https://www.apartments.com/25-columbus-cir-new-york-ny-unit-53e/8nhejg3/),"[25 Columbus Cir, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/25+Columbus+Cir,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[5 E 64th St](https://www.apartments.com/5-e-64th-st-new-york-ny/fb783lv/),"[5 E 64th St, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/5+E+64th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)"
[262 W 138th St](https://www.apartments.com/262-w-138th-st-new-york-ny/ttxe068/),"[262 W 138th St, New York, NY 10030](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/262+W+138th+St,+New+York,+NY+10030/data=!4m2!4m1!3e2)"
[30 Mercer St Unit 15](https://www.apartments.com/30-mercer-st-new-york-ny-unit-15/1sgrpn6/),"[30 Mercer St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/30+Mercer+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[212 5th Ave Unit 5A](https://www.apartments.com/212-5th-ave-new-york-ny-unit-5a/rjkpj33/),"[212 5th Ave, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/212+5th+Ave,+New+York,+NY+10010/data=!4m2!4m1!3e2)"
[209 W 139th St](https://www.apartments.com/209-w-139th-st-new-york-ny/2wskrp9/),"[209 W 139th St, New York, NY 10030](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/209+W+139th+St,+New+York,+NY+10030/data=!4m2!4m1!3e2)"
[456 Washington St Unit 10C](https://www.apartments.com/456-washington-st-new-york-city-ny-unit-10c/g7hd6ew/),"[456 Washington St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/456+Washington+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[90 Crosby St Unit 3C](https://www.apartments.com/90-crosby-st-new-york-ny-unit-3c/3e7my5d/),"[90 Crosby St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/90+Crosby+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[1980 Lexington Ave Unit 11B](https://www.apartments.com/1980-lexington-ave-new-york-ny-unit-11b/3hwl37g/),"[1980 Lexington Ave, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1980+Lexington+Ave,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[1980 Lexington Ave Unit 28L](https://www.apartments.com/1980-lexington-ave-new-york-ny-unit-28l/trym6g9/),"[1980 Lexington Ave, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1980+Lexington+Ave,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[124 Sherman Ave Unit 23](https://www.apartments.com/124-sherman-ave-new-york-ny-unit-23/1073g07/),"[124 Sherman Ave, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/124+Sherman+Ave,+New+York,+NY+10034/data=!4m2!4m1!3e2)"
[598 W 177th St Unit BW](https://www.apartments.com/598-w-177th-st-new-york-ny-unit-bw/47rr3qk/),"[598 W 177th St, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/598+W+177th+St,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[55 Mott St Unit 2](https://www.apartments.com/55-mott-st-new-york-ny-unit-2/djgbb9j/),"[55 Mott St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/55+Mott+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[720 Fort Washington Ave Unit 4](https://www.apartments.com/720-fort-washington-ave-new-york-ny-unit-4/kw00r5b/),"[720 Fort Washington Ave, New York, NY 10040](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/720+Fort+Washington+Ave,+New+York,+NY+10040/data=!4m2!4m1!3e2)"
[135 E 27th St Unit 1](https://www.apartments.com/135-e-27th-st-new-york-ny-unit-1/23p4k88/),"[135 E 27th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/135+E+27th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[310 E 33rd St Unit 19f](https://www.apartments.com/310-e-33rd-st-new-york-ny-unit-19f/pstfy0t/),"[310 E 33rd St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/310+E+33rd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[340 W 37th St Unit 18D](https://www.apartments.com/340-w-37th-st-new-york-ny-unit-18d/mejdxlh/),"[340 W 37th St, New York, NY 10018](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/340+W+37th+St,+New+York,+NY+10018/data=!4m2!4m1!3e2)"
[571 W 34th St Unit 28](https://www.apartments.com/571-w-34th-st-new-york-ny-unit-28/sdcrr75/),"[571 W 34th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/571+W+34th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[133 E 4th St Unit 1](https://www.apartments.com/133-e-4th-st-new-york-ny-unit-1/lkc33xd/),"[133 E 4th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/133+E+4th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[31 E 34th St Unit 3-12](https://www.apartments.com/31-e-34th-st-new-york-ny-unit-3-12/vvlx7te/),"[31 E 34th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/31+E+34th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[312 E 30th St Unit 15dd](https://www.apartments.com/312-e-30th-st-new-york-ny-unit-15dd/67cb3fr/),"[312 E 30th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/312+E+30th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[109 E 37th St Unit 5E](https://www.apartments.com/109-e-37th-st-new-york-ny-unit-5e/zgtwtpx/),"[109 E 37th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/109+E+37th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[305 W 143rd St Unit g](https://www.apartments.com/305-w-143rd-st-new-york-ny-unit-g/09h2vp2/),"[305 W 143rd St, New York, NY 10030](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/305+W+143rd+St,+New+York,+NY+10030/data=!4m2!4m1!3e2)"
[406 E 120th St Unit 1](https://www.apartments.com/406-e-120th-st-new-york-ny-unit-1/b90sntc/),"[406 E 120th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/406+E+120th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[359 Pleasant Ave Unit 1](https://www.apartments.com/359-pleasant-ave-new-york-ny-unit-1/qnhysny/),"[359 Pleasant Ave, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/359+Pleasant+Ave,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[1114 5th Ave Unit 24c](https://www.apartments.com/1114-5th-ave-new-york-ny-unit-24c/34gvmpd/),"[1114 5th Ave, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1114+5th+Ave,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[360 W 43rd St Unit 5d](https://www.apartments.com/360-w-43rd-st-new-york-ny-unit-5d/7780eyw/),"[360 W 43rd St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/360+W+43rd+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[229 W 60th St Unit 5F](https://www.apartments.com/229-w-60th-st-new-york-ny-unit-5f/wsz2z8j/),"[229 W 60th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/229+W+60th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[431 E 83rd St Unit 5b](https://www.apartments.com/431-e-83rd-st-new-york-ny-unit-5b/qpe8n5z/),"[431 E 83rd St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/431+E+83rd+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"
[460 W 20th St Unit 5H](https://www.apartments.com/460-w-20th-st-new-york-ny-unit-5h/96xx3w5/),"[460 W 20th St, New York, NY 10011](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/460+W+20th+St,+New+York,+NY+10011/data=!4m2!4m1!3e2)"
[150 W 51st St Unit 804](https://www.apartments.com/150-w-51st-st-new-york-ny-unit-804/7eb1qkw/),"[150 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/150+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[124 W 60th St Unit 21c](https://www.apartments.com/124-w-60th-st-new-york-ny-unit-21c/6stelcv/),"[124 W 60th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/124+W+60th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[220 W 122nd St Unit 2f](https://www.apartments.com/220-w-122nd-st-new-york-ny-unit-2f/0bc71c0/),"[220 W 122nd St, New York, NY 10027](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/220+W+122nd+St,+New+York,+NY+10027/data=!4m2!4m1!3e2)"
[41 Bedford St Unit 4d](https://www.apartments.com/41-bedford-st-new-york-ny-unit-4d/3n04gee/),"[41 Bedford St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/41+Bedford+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[8 E 74th St Unit 1a](https://www.apartments.com/8-e-74th-st-new-york-ny-unit-1a/dqts6bh/),"[8 E 74th St, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/8+E+74th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[400 E 57th St Unit 10a](https://www.apartments.com/400-e-57th-st-new-york-ny-unit-10a/sgtf187/),"[400 E 57th St, New York, NY 10022](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/400+E+57th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)"
[505 W 47th St Unit 6ds](https://www.apartments.com/505-w-47th-st-new-york-ny-unit-6ds/qdvs1vy/),"[505 W 47th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/505+W+47th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[143 E 17th St Unit 6h](https://www.apartments.com/143-e-17th-st-new-york-ny-unit-6h/rv131e0/),"[143 E 17th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/143+E+17th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[507 W 134th St Unit 54](https://www.apartments.com/507-w-134th-st-new-york-ny-unit-54/dqr23fk/),"[507 W 134th St, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/507+W+134th+St,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[1600 Broadway Unit 18B](https://www.apartments.com/1600-broadway-new-york-ny-unit-18b/f92wtls/),"[1600 Broadway, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1600+Broadway,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[225 E 82nd St Unit 4c](https://www.apartments.com/225-e-82nd-st-new-york-ny-unit-4c/we8vbvh/),"[225 E 82nd St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/225+E+82nd+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"
[43 W 16th St Unit 6h](https://www.apartments.com/43-w-16th-st-new-york-ny-unit-6h/jydhz24/),"[43 W 16th St, New York, NY 10011](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/43+W+16th+St,+New+York,+NY+10011/data=!4m2!4m1!3e2)"
